user,time,daily_usd_volume,cumulative_usd_volume,trade_count,liquidation_notional
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-08-18,22177278.980055183,468731439.4995221,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-08-19,41502277.37964197,510233716.87916404,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-08-20,26662209.506041754,536895926.3852059,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-08-21,34491727.99989651,571387654.3851023,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-09-02,30067049.87443594,601454704.2595383,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-09-09,38178745.46301012,639633449.7225484,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-09-10,24258187.262978442,663891636.9855268,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-09-17,32028017.677814066,695919654.6633409,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-09-18,48185156.14928153,744104810.8126224,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-09-29,28355975.14917537,772460785.9617978,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-03,31536422.893145245,803997208.854943,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-04,27815423.879349254,831812632.7342923,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-07,50665230.152024895,882477862.8863171,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-08,60029944.72638363,942507807.6127008,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-11,42915592.720936075,985423400.3336369,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-13,16102122.482343173,1001525522.8159801,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-17,52815144.72915654,1054340667.5451366,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-20,19661873.77004689,1074002541.3151834,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-30,39384600.30994925,1113387141.6251328,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-10-31,28038303.1280278,1141425444.7531605,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-01,112753049.14918816,1254178493.9023488,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-02,12651041.052933874,1266829534.9552827,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-04,27791971.463490847,1294621506.4187734,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-06,81458445.39136443,1376079951.8101377,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-08,39533020.98587074,1415612972.7960086,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-09,38312879.42210935,1453925852.218118,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-18,85435548.9899968,1539361401.2081146,,
0x21813dd67fecb6dffb3f74bb35c13336bc99a519,2024-11-20,56185257.00857423,1595546658.2166889,,
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-10,29604991.431036364,29604991.431036364,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-12,59506550.09959149,89111541.53062786,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-15,119987797.66096748,209099339.19159535,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-20,71161759.71702491,280261098.90862024,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-21,57640383.12493249,337901482.03355277,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-22,62741002.72317611,400642484.7567288,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-26,52665427.071655825,453307911.8283847,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-27,41671764.92240062,494979676.7507853,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-28,34839596.56654487,529819273.3173302,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-03-29,41724118.383848935,571543391.7011791,5452063.0,52117.41883
0x21d0033a7f8ad6ced9a02e50d5852e098f59d808,2024-10-05,16101676.294668453,587645067.9958476,5452063.0,52117.41883
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-13,41964074.525308825,41964074.525308825,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-19,33975903.037679784,75939977.56298861,,
